License Year,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015
 12/1,2,1,1,2,3,0,1,2,2,1
 12/2,1,1,0,0,1,0,2,2,1,0
 12/3,0,4,1,2,3,2,0,1,3,2
 12/4,0,0,5,1,1,0,0,0,2,3
 12/5,0,0,1,0,2,0,0,0,1,2
 12/6,0,0,0,1,0,1,2,0,1,5
 12/7,0,1,1,2,1,1,0,0,0,3
 12/8,0,0,0,0,0,4,4,2,2,2
 12/9,0,0,1,1,0,0,9,4,0,2
 12/10,0,5,2,2,1,0,2,3,5,1
 12/11,0,1,5,0,2,0,4,0,8,1
 12/12,0,1,1,5,2,0,1,0,4,2
 12/13,0,1,1,1,1,0,1,2,2,2
 12/14,0,2,1,1,1,4,8,2,1,4
 12/15,0,18,0,1,4,2,10,6,3,3
 12/16,0,12,17,1,2,0,18,12,24,4
 12/17,0,21,15,6,1,0,3,23,27,6
 12/18,0,0,20,5,4,1,0,0,23,17
 12/19,0,0,5,12,15,1,2,0,2,50
 12/20,0,0,7,1,11,6,2,0,0,45
 12/21,0,2,1,0,2,9,0,1,3,12
 12/22,0,0,2,0,1,8,0,0,1,2
 12/23,0,0,0,1,0,1,1,0,1,1
 12/24,0,0,0,1,1,1,1,0,1,3
 12/25,0,0,0,2,1,0,1,1,0,1
 12/26,0,1,3,1,5,0,0,0,3,16
 12/27,0,0,2,0,4,0,1,1,4,13
 12/28,0,3,2,2,0,1,0,2,2,2
 12/29,0,0,0,0,1,2,6,0,2,2
 12/30,0,7,2,1,1,0,4,5,4,1
 12/31,0,5,3,0,0,0,3,7,12,4
