License Year,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015
 11/1,3,0,2,3,2,5,0,0,1,5
 11/2,7,5,3,4,4,9,1,0,1,3
 11/3,4,3,4,4,2,5,3,2,1,1
 11/4,3,8,0,3,4,2,4,3,3,2
 11/5,0,4,3,5,2,5,2,1,9,4
 11/6,2,4,4,10,4,1,0,0,7,1
 11/7,4,3,1,2,2,0,0,1,7,5
 11/8,3,1,2,1,4,3,5,2,6,7
 11/9,79,5,1,4,0,61,0,0,2,7
 11/10,44,7,2,3,1,45,48,3,3,7
 11/11,28,93,0,1,0,18,55,53,7,3
 11/12,27,65,62,2,3,16,25,30,112,4
 11/13,29,36,67,83,4,14,22,19,75,3
 11/14,20,28,41,48,71,12,20,16,41,147
 11/15,44,18,19,25,31,14,10,12,21,56
 11/16,50,18,20,22,27,30,15,17,23,37
 11/17,41,13,9,12,27,23,38,15,25,32
 11/18,17,30,26,9,23,11,30,15,28,13
 11/19,11,25,40,23,21,5,8,17,38,31
 11/20,12,7,30,26,27,5,9,16,39,27
 11/21,23,11,9,31,31,4,13,1,25,52
 11/22,18,15,11,6,21,2,12,1,3,40
 11/23,35,8,13,8,10,11,18,1,1,33
 11/24,33,15,15,11,8,19,9,0,3,6
 11/25,4,21,13,9,8,0,19,1,4,1
 11/26,3,16,25,12,10,1,1,1,2,2
 11/27,7,3,11,13,6,0,0,0,2,3
 11/28,1,2,0,13,15,0,1,2,3,8
 11/29,5,3,0,1,14,1,1,0,2,0
 11/30,4,0,2,0,1,0,1,0,2,2
