License Year,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015
 10/1,0,2,1,0,1,0,0,4,5,3
 10/2,2,0,5,2,2,0,1,0,2,4
 10/3,4,0,5,3,0,0,1,1,2,4
 10/4,2,0,4,1,3,0,1,3,2,4
 10/5,5,0,1,0,1,2,3,0,1,7
 10/6,4,1,0,0,3,1,2,1,0,3
 10/7,1,3,1,1,4,0,2,0,2,3
 10/8,0,0,8,0,1,0,0,0,9,1
 10/9,2,2,19,10,2,1,0,0,27,3
 10/10,3,2,2,5,9,1,1,2,5,46
 10/11,1,3,3,1,16,1,0,1,2,30
 10/12,20,0,3,0,1,7,1,0,3,6
 10/13,13,2,2,1,2,19,19,0,0,5
 10/14,5,26,4,0,0,2,11,3,1,3
 10/15,4,16,4,0,1,0,1,8,9,5
 10/16,5,1,1,5,1,1,0,1,3,3
 10/17,1,5,0,3,5,1,1,0,0,18
 10/18,6,1,3,4,4,3,1,0,0,13
 10/19,5,2,5,1,1,7,0,0,0,8
 10/20,7,4,2,1,0,2,8,2,0,2
 10/21,2,10,1,0,0,1,6,2,0,4
 10/22,1,7,4,0,0,1,1,1,9,0
 10/23,0,3,2,2,0,1,2,2,4,3
 10/24,1,1,1,1,1,2,1,0,0,5
 10/25,3,3,0,1,2,1,0,0,5,3
 10/26,5,0,1,0,0,3,0,3,1,3
 10/27,3,1,1,1,4,1,4,1,2,2
 10/28,3,2,2,2,1,3,2,0,2,0
 10/29,2,3,4,1,0,0,2,2,6,0
 10/30,0,1,2,3,4,2,3,1,4,1
 10/31,0,5,3,6,6,0,2,0,2,6
