License Year,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015
 9/1,0,0,0,0,0,0,9,0,0,0
 9/2,0,7,0,0,0,0,8,10,0,0
 9/3,0,6,8,0,0,0,4,8,13,0
 9/4,0,7,11,14,0,0,1,4,17,0
 9/5,0,3,2,7,6,0,2,1,10,16
 9/6,0,0,1,6,5,0,0,0,3,15
 9/7,17,4,2,2,5,4,1,3,2,15
 9/8,16,0,1,0,1,2,2,3,2,5
 9/9,11,3,1,1,1,1,1,4,0,3
 9/10,5,0,5,2,1,1,2,1,6,4
 9/11,3,3,1,1,0,0,1,2,8,4
 9/12,2,0,1,2,3,0,3,2,3,12
 9/13,1,0,2,1,0,0,0,0,4,12
 9/14,6,1,0,0,3,0,2,0,2,6
 9/15,8,2,1,0,1,3,1,4,0,6
 9/16,1,2,0,2,0,0,1,2,1,4
 9/17,1,0,1,0,1,0,1,2,4,3
 9/18,0,2,2,2,0,0,1,1,3,5
 9/19,0,1,0,2,7,1,1,1,3,6
 9/20,2,1,3,1,2,1,1,0,0,11
 9/21,4,1,1,0,1,2,2,1,1,5
 9/22,1,0,0,0,1,3,1,0,3,4
 9/23,0,4,3,2,3,0,0,0,0,4
 9/24,0,2,2,2,2,1,0,0,4,3
 9/25,1,2,1,1,4,2,0,1,1,1
 9/26,0,0,0,2,2,1,0,0,1,1
 9/27,0,0,0,0,1,0,0,0,2,1
 9/28,6,4,3,0,0,2,2,0,0,0
 9/29,3,0,1,0,3,0,2,0,4,0
 9/30,4,2,2,1,1,0,0,1,5,0
