License Year, 10/1, 10/2, 10/3, 10/4, 10/5, 10/6, 10/7, 10/8, 10/9, 10/10, 10/11, 10/12, 10/13, 10/14, 10/15, 10/16, 10/17, 10/18, 10/19, 10/20, 10/21, 10/22, 10/23, 10/24, 10/25, 10/26, 10/27, 10/28, 10/29, 10/30, 10/31
2024, 0, 2, 4, 2, 5, 4, 1, 0, 2, 3, 1, 20, 13, 5, 4, 5, 1, 6, 5, 7, 2, 1, 0, 1, 3, 5, 3, 3, 2, 0, 0
2023, 2, 0, 0, 0, 0, 1, 3, 0, 2, 2, 3, 0, 2, 26, 16, 1, 5, 1, 2, 4, 10, 7, 3, 1, 3, 0, 1, 2, 3, 1, 5
2022, 1, 5, 5, 4, 1, 0, 1, 8, 19, 2, 3, 3, 2, 4, 4, 1, 0, 3, 5, 2, 1, 4, 2, 1, 0, 1, 1, 2, 4, 2, 3
2021, 0, 2, 3, 1, 0, 0, 1, 0, 10, 5, 1, 0, 1, 0, 0, 5, 3, 4, 1, 1, 0, 0, 2, 1, 1, 0, 1, 2, 1, 3, 6
2020, 1, 2, 0, 3, 1, 3, 4, 1, 2, 9, 16, 1, 2, 0, 1, 1, 5, 4, 1, 0, 0, 0, 0, 1, 2, 0, 4, 1, 0, 4, 6
2019, 0, 0, 0, 0, 2, 1, 0, 0, 1, 1, 1, 7, 19, 2, 0, 1, 1, 3, 7, 2, 1, 1, 1, 2, 1, 3, 1, 3, 0, 2, 0
2018, 0, 1, 1, 1, 3, 2, 2, 0, 0, 1, 0, 1, 19, 11, 1, 0, 1, 1, 0, 8, 6, 1, 2, 1, 0, 0, 4, 2, 2, 3, 2
2017, 4, 0, 1, 3, 0, 1, 0, 0, 0, 2, 1, 0, 0, 3, 8, 1, 0, 0, 0, 2, 2, 1, 2, 0, 0, 3, 1, 0, 2, 1, 0
2016, 5, 2, 2, 2, 1, 0, 2, 9, 27, 5, 2, 3, 0, 1, 9, 3, 0, 0, 0, 0, 0, 9, 4, 0, 5, 1, 2, 2, 6, 4, 2
2015, 3, 4, 4, 4, 7, 3, 3, 1, 3, 46, 30, 6, 5, 3, 5, 3, 18, 13, 8, 2, 4, 0, 3, 5, 3, 3, 2, 0, 0, 1, 6
