date,time,phase,phaseid,datetime,timestamp,friendlydate,timezone
01/06/2023,06:08 PM,Full Moon,3,2023-01-06 18:08:00,1673046480,"January 6, 2023","America/Kentucky/Monticello"
01/14/2023,09:10 PM,Last Quarter,4,2023-01-14 21:10:00,1673748600,"January 14, 2023","America/Kentucky/Monticello"
01/21/2023,03:53 PM,New Moon,1,2023-01-21 15:53:00,1674334380,"January 21, 2023","America/Kentucky/Monticello"
01/28/2023,10:19 AM,First Quarter,2,2023-01-28 10:19:00,1674919140,"January 28, 2023","America/Kentucky/Monticello"
02/05/2023,01:28 PM,Full Moon,3,2023-02-05 13:28:00,1675621680,"February 5, 2023","America/Kentucky/Monticello"
02/13/2023,11:01 AM,Last Quarter,4,2023-02-13 11:01:00,1676304060,"February 13, 2023","America/Kentucky/Monticello"
02/20/2023,02:06 AM,New Moon,1,2023-02-20 02:06:00,1676876760,"February 20, 2023","America/Kentucky/Monticello"
02/27/2023,03:06 AM,First Quarter,2,2023-02-27 03:06:00,1677485160,"February 27, 2023","America/Kentucky/Monticello"
03/07/2023,07:40 AM,Full Moon,3,2023-03-07 07:40:00,1678192800,"March 7, 2023","America/Kentucky/Monticello"
03/14/2023,10:08 PM,Last Quarter,4,2023-03-14 22:08:00,1678846080,"March 14, 2023","America/Kentucky/Monticello"
03/21/2023,01:23 PM,New Moon,1,2023-03-21 13:23:00,1679419380,"March 21, 2023","America/Kentucky/Monticello"
03/28/2023,10:32 PM,First Quarter,2,2023-03-28 22:32:00,1680057120,"March 28, 2023","America/Kentucky/Monticello"
04/06/2023,12:34 AM,Full Moon,3,2023-04-06 00:34:00,1680755640,"April 6, 2023","America/Kentucky/Monticello"
04/13/2023,05:11 AM,Last Quarter,4,2023-04-13 05:11:00,1681377060,"April 13, 2023","America/Kentucky/Monticello"
04/20/2023,12:12 AM,New Moon,1,2023-04-20 00:12:00,1681963920,"April 20, 2023","America/Kentucky/Monticello"
04/27/2023,05:20 PM,First Quarter,2,2023-04-27 17:20:00,1682630400,"April 27, 2023","America/Kentucky/Monticello"
